1748536366.194744 server started (2348): version 3.5a, socket /private/tmp/tmux-501/default, protocol 8
1748536366.194774 on Darwin 24.5.0 Darwin Kernel Version 24.5.0: Tue Apr 22 19:54:33 PDT 2025; root:xnu-11417.121.6~2/RELEASE_ARM64_T8122
1748536366.194781 using libevent 2.1.12-stable select
1748536366.194788 using utf8proc 2.10.0
1748536366.194793 using ncurses 6.5 20240427
1748536366.194856 input_key_build: 0x10e003 (PasteStart) is \033[200~
1748536366.194862 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1748536366.194885 input_key_build: 0x10e195 (F1) is \033OP
1748536366.194889 input_key_build: 0x10e196 (F2) is \033OQ
1748536366.194893 input_key_build: 0x10e197 (F3) is \033OR
1748536366.194896 input_key_build: 0x10e198 (F4) is \033OS
1748536366.194900 input_key_build: 0x10e199 (F5) is \033[15~
1748536366.194904 input_key_build: 0x10e19a (F6) is \033[17~
1748536366.194908 input_key_build: 0x10e19b (F7) is \033[18~
1748536366.194911 input_key_build: 0x10e19c (F8) is \033[19~
1748536366.194915 input_key_build: 0x10e19d (F9) is \033[20~
1748536366.194918 input_key_build: 0x10e19e (F10) is \033[21~
1748536366.194922 input_key_build: 0x10e19f (F11) is \033[23~
1748536366.194925 input_key_build: 0x10e1a0 (F12) is \033[24~
1748536366.194929 input_key_build: 0x10e1a1 (IC) is \033[2~
1748536366.194932 input_key_build: 0x10e1a2 (DC) is \033[3~
1748536366.194936 input_key_build: 0x10e1a3 (Home) is \033[1~
1748536366.194939 input_key_build: 0x10e1a4 (End) is \033[4~
1748536366.194943 input_key_build: 0x10e1a5 (NPage) is \033[6~
1748536366.194946 input_key_build: 0x10e1a6 (PPage) is \033[5~
1748536366.194950 input_key_build: 0x10e1a7 (BTab) is \033[Z
1748536366.194955 input_key_build: 0x10e1a8 (Up) is \033[A
1748536366.194959 input_key_build: 0x10e1a9 (Down) is \033[B
1748536366.194962 input_key_build: 0x10e1aa (Left) is \033[D
1748536366.194966 input_key_build: 0x10e1ab (Right) is \033[C
1748536366.194969 input_key_build: 0x10e1ac (KP/) is /
1748536366.194973 input_key_build: 0x10e1ad (KP*) is *
1748536366.194977 input_key_build: 0x10e1ae (KP-) is -
1748536366.194980 input_key_build: 0x10e1af (KP7) is 7
1748536366.194983 input_key_build: 0x10e1b0 (KP8) is 8
1748536366.194987 input_key_build: 0x10e1b1 (KP9) is 9
1748536366.194991 input_key_build: 0x10e1b2 (KP+) is +
1748536366.194994 input_key_build: 0x10e1b3 (KP4) is 4
1748536366.194997 input_key_build: 0x10e1b4 (KP5) is 5
1748536366.195001 input_key_build: 0x10e1b5 (KP6) is 6
1748536366.195004 input_key_build: 0x10e1b6 (KP1) is 1
1748536366.195008 input_key_build: 0x10e1b7 (KP2) is 2
1748536366.195011 input_key_build: 0x10e1b8 (KP3) is 3
1748536366.195015 input_key_build: 0x10e1b9 (KPEnter) is \n
1748536366.195019 input_key_build: 0x10e1ba (KP0) is 0
1748536366.195022 input_key_build: 0x10e1bb (KP.) is .
1748536366.195026 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1748536366.195029 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1748536366.195033 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1748536366.195036 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1748536366.195040 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1748536366.195044 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1748536366.195047 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1748536366.195051 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1748536366.195054 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1748536366.195058 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1748536366.195061 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1748536366.195065 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1748536366.195068 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1748536366.195072 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1748536366.195075 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1748536366.195079 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1748536366.195082 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
